key,prompt,f_save,is_closeup,negative_prompt,style_prompt
['world_description'],"Aurora Dominion is a world unlike any other, where magic and technology coexist in a delicate balance. The world is set on a sprawling archipelago, where the skies are constantly lit up by auroras that never fade. These auroras are the source of much of the world's magic and power, and the people who inhabit this world have learned to harness this power in many ways.

The world is divided into several large regions, each with its own distinct culture and way of life. The geopolitics of the world are complex, with various factions and groups vying for power and control over the different regions. There are powerful kingdoms and empires, as well as smaller independent city-states and freeholds.

Magic is an integral part of life in Aurora Dominion, and it is used in many different ways. Some people use magic to control the weather, creating storms or calm seas as needed. Others use it to heal the sick or injured, while still others use it to create powerful weapons or to enhance their physical abilities.

Technology is also advanced in Aurora Dominion, with many different forms of transportation available. There are airships that sail through the skies, powered by magic and technology alike. There are also boats and ships that traverse the seas between the different islands, as well as trains and other forms of ground transportation.

Despite the many advancements in magic and technology, there are still many challenges facing the people of Aurora Dominion. There are fanatical religious sects that seek to impose their will on others, and there are powerful gangs and criminal organizations that prey on the weak and vulnerable.

Overall, Aurora Dominion is a world of wonder and danger, where magic and technology combine to create a truly unique and fascinating place.",results/images/Aurora_Dominion/000000.png,False,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['races'],"The Luminescent: A race of beings with skin that glows in the dark, they have an innate ability to manipulate light and are often employed as navigators on airships.",results/images/Aurora_Dominion/000001.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['races'],"The Scaleborn: An amphibious race with scales covering their bodies, they are skilled sailors and fishermen, and have developed technology to allow them to breathe underwater.",results/images/Aurora_Dominion/000002.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['races'],"The Wraiths: A ghostly race of beings that can phase through solid objects, they are often employed as spies and assassins, and their abilities make them ideal for infiltration and sabotage.",results/images/Aurora_Dominion/000003.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['races'],"The Stoneborn: A race of beings made entirely of stone, they are highly resistant to physical damage and are often employed as bodyguards and defenders.",results/images/Aurora_Dominion/000004.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['races'],"The Skyborn: A race of beings with wings, they are highly adept at flying and have developed technology to allow them to soar through the skies with ease.",results/images/Aurora_Dominion/000005.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['races'],"The Shadowborn: A race of beings with the ability to manipulate darkness, they are often employed as assassins and spies, and their abilities make them highly effective in low-light environments.",results/images/Aurora_Dominion/000006.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['races'],"The Flameborn: A race of beings with the ability to control fire, they are skilled blacksmiths and have developed technology to harness the power of flames in various ways.",results/images/Aurora_Dominion/000007.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['creatures'],"The Sparkhopper: A small, furry creature with a long, spring-like tail that allows it to jump incredible distances. Sparkhoppers are often kept as pets, but they can also be used as messengers or scouts due to their speed and agility.",results/images/Aurora_Dominion/000008.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
['creatures'],"The Gloomwing: A bat-like creature with dark, leathery wings and sharp claws. Gloomwings are often feared by the people of Aurora Dominion, as they are known to attack livestock and even people in the dark of night.",results/images/Aurora_Dominion/000009.png,True,"((sfw)), easynegative, badhandv4, greyscale, monochrome, water mark, signature, bad anatomy, bad proportions, deformed, poorly drawn hands, extra fingers, extra limbs, blurry","closeup, painterly style, flat colours, illustration, bright and colourful, high contrast, Mythology, cinematic, detailed, atmospheric, 8k, corona render"
